title,count,author,sources,original_publication_year,genres
the secret garden,2,frances hodgson burnett,"lists\library100.csv, lists\penguin-classics.csv",1911,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Literature', 'Fantasy', 'Historical', 'Audiobook']"
the secret history,2,donna tartt,"lists\centerforfiction.csv, lists\penguin-classics.csv",1992,"['Fiction', 'Mystery', 'Contemporary', 'Literary Fiction', 'Thriller', 'Classics', 'Adult', 'Crime', 'Mystery Thriller', 'Novels']"
the stranger,2,albert camus,"lists\centerforfiction.csv, lists\library100.csv",1942,"['Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Novels', 'French Literature', 'School', '20th Century', 'Literary Fiction']"
the sun also rises,2,ernest hemingway,"lists\centerforfiction.csv, lists\modern-library-radcliffe.csv",1926,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'Historical Fiction', 'Spain', 'School', 'Classic Literature', '20th Century']"
the time machine,2,h.g. wells,"lists\pan-macmillan-classics.csv, lists\penguin-classics.csv",1895,"['Classics', 'Science Fiction', 'Fiction', 'Time Travel', 'Fantasy', 'Dystopia', 'Science Fiction Fantasy', 'Literature', 'Adventure', 'Novels']"
the wonderful wizard of oz,2,l frank baum,"lists\modern-library-radcliffe.csv, lists\library100.csv",1900,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Audiobook', 'Middle Grade', 'Magic', 'Literature']"
the world according to garp,2,john irving,"lists\centerforfiction.csv, lists\modern-library-radcliffe.csv",1978,"['Fiction', 'Classics', 'Contemporary', 'Literature', 'Novels', 'Literary Fiction', 'Humor', 'American', 'Adult Fiction', 'Drama']"
their eyes were watching god,2,zora neale hurston,"lists\centerforfiction.csv, lists\modern-library-radcliffe.csv",1937,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'African American', 'Literature', 'Novels', 'Feminism', 'Read For School', 'High School']"
uncle tom's cabin,2,harriet beecher stowe,"lists\centerforfiction.csv, lists\library100.csv",1852,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'American', 'Novels', 'Classic Literature', '19th Century', 'School']"
war and peace,2,leo tolstoy,"lists\library100.csv, lists\penguin-classics.csv",1869,"['Classics', 'Fiction', 'Historical Fiction', 'Russia', 'Literature', 'Russian Literature', 'War', 'Novels', 'Historical', '19th Century']"
a clockwork orange,1,anthony burgess,lists\modern-library-radcliffe.csv,1962,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Horror', 'Thriller', 'Crime', 'Modern Classics']"
east of eden,1,john steinbeck,lists\penguin-classics.csv,1952,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', 'American', 'Literary Fiction', 'Historical', 'Classic Literature', 'Adult']"
finnegans wake,1,james joyce,lists\modern-library-radcliffe.csv,1939,"['Fiction', 'Classics', 'Literature', 'Irish Literature', 'Ireland', 'Novels', 'Literary Fiction', '20th Century', 'Classic Literature', 'Unfinished']"
the bell jar,1,sylvia plath,lists\centerforfiction.csv,1963,"['Classics', 'Fiction', 'Feminism', 'Mental Health', 'Psychology', 'Mental Illness', 'Literature', 'Novels', 'Poetry', 'Adult']"
the hobbit,1,j.r.r. tolkien,lists\library100.csv,1937,
the three musketeers,1,alexandre dumas,lists\library100.csv,1844,"['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'France', 'Literature', 'Historical', 'French Literature', 'Classic Literature', 'Novels']"
